observation_date,W201RC1A027NBEA
1950-01-01,31.488
1951-01-01,42.049
1952-01-01,39.272
1953-01-01,38.481
1954-01-01,34.745
1955-01-01,47.461
1956-01-01,55.419
1957-01-01,52.889
1958-01-01,41.269
1959-01-01,54.618
1960-01-01,59.055
1961-01-01,61.006
1962-01-01,69.305
1963-01-01,76.117
1964-01-01,83.668
1965-01-01,94.918
1966-01-01,101.171
1967-01-01,96.934
1968-01-01,101.212
1969-01-01,108.232
1970-01-01,91.394
1971-01-01,97.200
1972-01-01,116.622
1973-01-01,156.600
1974-01-01,142.309
1975-01-01,109.632
1976-01-01,139.083
1977-01-01,169.588
1978-01-01,220.796
1979-01-01,239.703
1980-01-01,201.855
1981-01-01,257.011
1982-01-01,189.065
1983-01-01,154.156
1984-01-01,283.373
1985-01-01,241.013
1986-01-01,179.418
1987-01-01,218.732
1988-01-01,292.322
1989-01-01,271.698
1990-01-01,225.038
1991-01-01,221.217
1992-01-01,187.793
1993-01-01,160.415
1994-01-01,240.203
1995-01-01,304.777
1996-01-01,404.658
1997-01-01,542.530
1998-01-01,621.997
1999-01-01,609.292
2000-01-01,614.927
2001-01-01,472.530
2002-01-01,342.341
2003-01-01,268.740
2004-01-01,335.951
2005-01-01,382.776
2006-01-01,518.167
2007-01-01,259.130
2008-01-01,-147.188
2009-01-01,-373.532
2010-01-01,-89.645
2011-01-01,58.770
2012-01-01,396.872
2013-01-01,437.157
2014-01-01,626.468
2015-01-01,664.876
2016-01-01,465.597
2017-01-01,554.240
2018-01-01,638.218
2019-01-01,685.858
2020-01-01,274.318
2021-01-01,300.944
2022-01-01,430.830
2023-01-01,164.568
2024-01-01,35.774
