"COUNTRY","INDICATOR","UNIT","FREQUENCY","TIME_PERIOD","OBS_VALUE"
"United States","Capital account balance (credit less debit)","US dollar","Annual","1970","0"
"United States","Capital account balance (credit less debit)","US dollar","Annual","1971","0"
"United States","Capital account balance (credit less debit)","US dollar","Annual","1972","0"
"United States","Capital account balance (credit less debit)","US dollar","Annual","1973","0"
"United States","Capital account balance (credit less debit)","US dollar","Annual","1974","0"
"United States","Capital account balance (credit less debit)","US dollar","Annual","1975","0"
"United States","Capital account balance (credit less debit)","US dollar","Annual","1976","0"
"United States","Capital account balance (credit less debit)","US dollar","Annual","1977","0"
"United States","Capital account balance (credit less debit)","US dollar","Annual","1978","0"
"United States","Capital account balance (credit less debit)","US dollar","Annual","1979","0"
"United States","Capital account balance (credit less debit)","US dollar","Annual","1980","0"
"United States","Capital account balance (credit less debit)","US dollar","Annual","1981","0"
"United States","Capital account balance (credit less debit)","US dollar","Annual","1982","0"
"United States","Capital account balance (credit less debit)","US dollar","Annual","1983","0"
"United States","Capital account balance (credit less debit)","US dollar","Annual","1984","0"
"United States","Capital account balance (credit less debit)","US dollar","Annual","1985","0"
"United States","Capital account balance (credit less debit)","US dollar","Annual","1986","0"
"United States","Capital account balance (credit less debit)","US dollar","Annual","1987","0"
"United States","Capital account balance (credit less debit)","US dollar","Annual","1988","0"
"United States","Capital account balance (credit less debit)","US dollar","Annual","1989","-206500000"
"United States","Capital account balance (credit less debit)","US dollar","Annual","1990","-7220200000"
"United States","Capital account balance (credit less debit)","US dollar","Annual","1991","-5129900000"
"United States","Capital account balance (credit less debit)","US dollar","Annual","1992","1449400000"
"United States","Capital account balance (credit less debit)","US dollar","Annual","1993","-714200000"
"United States","Capital account balance (credit less debit)","US dollar","Annual","1994","-1111200000"
"United States","Capital account balance (credit less debit)","US dollar","Annual","1995","-221500000"
"United States","Capital account balance (credit less debit)","US dollar","Annual","1996","-7000000"
"United States","Capital account balance (credit less debit)","US dollar","Annual","1997","-256300000"
"United States","Capital account balance (credit less debit)","US dollar","Annual","1998","-8000000"
"United States","Capital account balance (credit less debit)","US dollar","Annual","1999","-6428000000"
"United States","Capital account balance (credit less debit)","US dollar","Annual","2000","-4218000000"
"United States","Capital account balance (credit less debit)","US dollar","Annual","2001","12169000000"
"United States","Capital account balance (credit less debit)","US dollar","Annual","2002","-3825000000"
"United States","Capital account balance (credit less debit)","US dollar","Annual","2003","-8499000000"
"United States","Capital account balance (credit less debit)","US dollar","Annual","2004","-4343000000"
"United States","Capital account balance (credit less debit)","US dollar","Annual","2005","950000000"
"United States","Capital account balance (credit less debit)","US dollar","Annual","2006","-7439000000"
"United States","Capital account balance (credit less debit)","US dollar","Annual","2007","-6057000000"
"United States","Capital account balance (credit less debit)","US dollar","Annual","2008","-172000000"
"United States","Capital account balance (credit less debit)","US dollar","Annual","2009","-5876000000"
"United States","Capital account balance (credit less debit)","US dollar","Annual","2010","-6891000000"
