"COUNTRY","INDICATOR","FXR_CURRENCY","TYPE_OF_TRANSFORMATION","TIME_PERIOD","OBS_VALUE"
"World","Allocated foreign exchange reserves","Claims in Canadian dollar","Nominal value","2012","86752340262.4687"
"World","Allocated foreign exchange reserves","Claims in Canadian dollar","Nominal value","2013","113801530137.385"
"World","Allocated foreign exchange reserves","Claims in Canadian dollar","Nominal value","2014","119024274385.554"
"World","Allocated foreign exchange reserves","Claims in Canadian dollar","Nominal value","2015","131608724463.26"
"World","Allocated foreign exchange reserves","Claims in Canadian dollar","Nominal value","2016","163143752477.696"
"World","Allocated foreign exchange reserves","Claims in Canadian dollar","Nominal value","2017","202797895147.727"
"World","Allocated foreign exchange reserves","Claims in Canadian dollar","Nominal value","2018","197216327992.164"
"World","Allocated foreign exchange reserves","Claims in Canadian dollar","Nominal value","2019","205988879263.306"
"World","Allocated foreign exchange reserves","Claims in Canadian dollar","Nominal value","2020","246567234000.626"
"World","Allocated foreign exchange reserves","Claims in Canadian dollar","Nominal value","2021","286932075845.438"
"World","Allocated foreign exchange reserves","Claims in Canadian dollar","Nominal value","2022","263609594882.306"
"World","Allocated foreign exchange reserves","Claims in Canadian dollar","Nominal value","2023","296470197864.54"
"World","Allocated foreign exchange reserves","Claims in Canadian dollar","Nominal value","2024","318074258069.721"
"World","Allocated foreign exchange reserves","Claims in Australian dollar","Nominal value","2012","88608508008.4071"
"World","Allocated foreign exchange reserves","Claims in Australian dollar","Nominal value","2013","113033213950.254"
"World","Allocated foreign exchange reserves","Claims in Australian dollar","Nominal value","2014","108497885502.488"
"World","Allocated foreign exchange reserves","Claims in Australian dollar","Nominal value","2015","131026279317.579"
"World","Allocated foreign exchange reserves","Claims in Australian dollar","Nominal value","2016","142303388848.203"
"World","Allocated foreign exchange reserves","Claims in Australian dollar","Nominal value","2017","180494359678.217"
"World","Allocated foreign exchange reserves","Claims in Australian dollar","Nominal value","2018","174463044594.84"
"World","Allocated foreign exchange reserves","Claims in Australian dollar","Nominal value","2019","187881651119.246"
"World","Allocated foreign exchange reserves","Claims in Australian dollar","Nominal value","2020","216870647792.71"
"World","Allocated foreign exchange reserves","Claims in Australian dollar","Nominal value","2021","221321097841.011"
"World","Allocated foreign exchange reserves","Claims in Australian dollar","Nominal value","2022","217083124115.803"
"World","Allocated foreign exchange reserves","Claims in Australian dollar","Nominal value","2023","245534524343.745"
"World","Allocated foreign exchange reserves","Claims in Australian dollar","Nominal value","2024","235463001600.046"
"World","Allocated foreign exchange reserves","Claims in Euro","Nominal value","1999","246950496655.992"
"World","Allocated foreign exchange reserves","Claims in Euro","Nominal value","2000","277692599439.347"
"World","Allocated foreign exchange reserves","Claims in Euro","Nominal value","2001","301146020318.748"
"World","Allocated foreign exchange reserves","Claims in Euro","Nominal value","2002","424714792400.596"
"World","Allocated foreign exchange reserves","Claims in Euro","Nominal value","2003","556479183988.217"
"World","Allocated foreign exchange reserves","Claims in Euro","Nominal value","2004","655230194566.038"
"World","Allocated foreign exchange reserves","Claims in Euro","Nominal value","2005","679299119116.103"
"World","Allocated foreign exchange reserves","Claims in Euro","Nominal value","2006","847692228501.419"
"World","Allocated foreign exchange reserves","Claims in Euro","Nominal value","2007","1077106390126.48"
"World","Allocated foreign exchange reserves","Claims in Euro","Nominal value","2008","1103517651842.61"
"World","Allocated foreign exchange reserves","Claims in Euro","Nominal value","2009","1269583463267.24"
"World","Allocated foreign exchange reserves","Claims in Euro","Nominal value","2010","1327940738734.65"
"World","Allocated foreign exchange reserves","Claims in Euro","Nominal value","2011","1379700519536.1"
"World","Allocated foreign exchange reserves","Claims in Euro","Nominal value","2012","1464732050881.44"
"World","Allocated foreign exchange reserves","Claims in Euro","Nominal value","2013","1506927580002.31"
"World","Allocated foreign exchange reserves","Claims in Euro","Nominal value","2014","1442307336546.41"
"World","Allocated foreign exchange reserves","Claims in Euro","Nominal value","2015","1419423444391.89"
"World","Allocated foreign exchange reserves","Claims in Euro","Nominal value","2016","1611025860428.64"
"World","Allocated foreign exchange reserves","Claims in Euro","Nominal value","2017","2019378262780.45"
"World","Allocated foreign exchange reserves","Claims in Euro","Nominal value","2018","2217578019337.84"
"World","Allocated foreign exchange reserves","Claims in Euro","Nominal value","2019","2279459182704.45"
"World","Allocated foreign exchange reserves","Claims in Euro","Nominal value","2020","2526413706773.94"
"World","Allocated foreign exchange reserves","Claims in Euro","Nominal value","2021","2481340124554.13"
"World","Allocated foreign exchange reserves","Claims in Euro","Nominal value","2022","2248992065811.76"
"World","Allocated foreign exchange reserves","Claims in Euro","Nominal value","2023","2284365935522.09"
"World","Allocated foreign exchange reserves","Claims in Euro","Nominal value","2024","2275618257029.19"
"World","Allocated foreign exchange reserves","Claims in Pound sterling","Nominal value","1995","21874306308"
"World","Allocated foreign exchange reserves","Claims in Pound sterling","Nominal value","1996","32882911900"
"World","Allocated foreign exchange reserves","Claims in Pound sterling","Nominal value","1997","32856070000"
"World","Allocated foreign exchange reserves","Claims in Pound sterling","Nominal value","1998","34142263729.1578"
"World","Allocated foreign exchange reserves","Claims in Pound sterling","Nominal value","1999","39827370892.0595"
"World","Allocated foreign exchange reserves","Claims in Pound sterling","Nominal value","2000","41797997038.5574"
"World","Allocated foreign exchange reserves","Claims in Pound sterling","Nominal value","2001","42400839802.5289"
"World","Allocated foreign exchange reserves","Claims in Pound sterling","Nominal value","2002","52466422748.4945"
"World","Allocated foreign exchange reserves","Claims in Pound sterling","Nominal value","2003","63607430000.3311"
"World","Allocated foreign exchange reserves","Claims in Pound sterling","Nominal value","2004","92734476974.0963"
"World","Allocated foreign exchange reserves","Claims in Pound sterling","Nominal value","2005","106557987983.785"
"World","Allocated foreign exchange reserves","Claims in Pound sterling","Nominal value","2006","151089044032.231"
"World","Allocated foreign exchange reserves","Claims in Pound sterling","Nominal value","2007","198889795323.066"
"World","Allocated foreign exchange reserves","Claims in Pound sterling","Nominal value","2008","177545155691.575"
"World","Allocated foreign exchange reserves","Claims in Pound sterling","Nominal value","2009","194898999723.492"
"World","Allocated foreign exchange reserves","Claims in Pound sterling","Nominal value","2010","203180860333.816"
"World","Allocated foreign exchange reserves","Claims in Pound sterling","Nominal value","2011","216570921192.441"
"World","Allocated foreign exchange reserves","Claims in Pound sterling","Nominal value","2012","245960080869.014"
"World","Allocated foreign exchange reserves","Claims in Pound sterling","Nominal value","2013","248102815079.386"
"World","Allocated foreign exchange reserves","Claims in Pound sterling","Nominal value","2014","251690406664.756"
"World","Allocated foreign exchange reserves","Claims in Pound sterling","Nominal value","2015","349657424173.857"
"World","Allocated foreign exchange reserves","Claims in Pound sterling","Nominal value","2016","365857927579.01"
"World","Allocated foreign exchange reserves","Claims in Pound sterling","Nominal value","2017","454789654262.417"
